사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010400100005,2020년 1월 4일 00시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,2,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,승용,여,50세,경상
2020010400100019,2020년 1월 4일 01시,토요일,경기도 수원시 장안구 영화동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,남,49세,경상
2020010400100036,2020년 1월 4일 02시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,47세,상해없음,승용,남,54세,경상
2020010400100049,2020년 1월 4일 03시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,51세,경상
2020010400100066,2020년 1월 4일 05시,토요일,경기도 수원시 권선구 세류동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,보행자,남,60세,중상
2020010400100067,2020년 1월 4일 05시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,보행자,남,29세,경상
2020010400100068,2020년 1월 4일 05시,토요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,이륜,남,27세,중상
2020010400100111,2020년 1월 4일 08시,토요일,경기도 수원시 권선구 평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,30세,경상
2020010400100153,2020년 1월 4일 10시,토요일,경기도 수원시 권선구 금곡동,중상사고,0,1,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,승용,남,49세,경상
2020010400100229,2020년 1월 4일 13시,토요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,45세,경상
2020010400100252,2020년 1월 4일 14시,토요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,남,57세,경상
2020010400100316,2020년 1월 4일 16시,토요일,경기도 수원시 팔달구 중동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,여,25세,경상
2020010400100388,2020년 1월 4일 18시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,57세,상해없음,보행자,남,9세,중상
2020010400100469,2020년 1월 4일 21시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,33세,상해없음,보행자,남,65세,경상
2020010400100497,2020년 1월 4일 22시,토요일,경기도 수원시 장안구 율전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,55세,경상
2020010400100498,2020년 1월 4일 22시,토요일,경기도 수원시 장안구 정자동,경상사고,0,0,3,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,49세,경상
2020010500100003,2020년 1월 5일 00시,일요일,경기도 수원시 장안구 연무동,경상사고,0,0,1,0,차대사람 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로부근,승용,여,48세,상해없음,보행자,여,25세,경상
2020010500100096,2020년 1월 5일 09시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,승용,남,37세,경상
2020010500100129,2020년 1월 5일 11시,일요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,54세,기타불명,보행자,남,50세,경상
2020010500100130,2020년 1월 5일 11시,일요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,기타 - 기타,이륜,남,81세,경상,승용,남,62세,상해없음
2020010500100216,2020년 1월 5일 14시,일요일,경기도 수원시 장안구 파장동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,59세,경상,승용,여,52세,경상
2020010500100318,2020년 1월 5일 18시,일요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,이륜,남,53세,경상
2020010600100016,2020년 1월 6일 02시,월요일,경기도 수원시 영통구 하동,중상사고,0,1,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,경상,,,,
