사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021122700100484,2021년 12월 27일 20시,월요일,경기도 수원시 영통구 신동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,42세,상해없음,승용,남,50세,경상
2021122700100486,2021년 12월 27일 20시,월요일,경기도 수원시 팔달구 매산로3가,사망사고,1,0,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승합,남,57세,상해없음,보행자,남,71세,사망
2021122700100517,2021년 12월 27일 21시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,55세,상해없음,승용,남,54세,경상
2021122700100519,2021년 12월 27일 21시,월요일,경기도 수원시 권선구 고색동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,41세,경상
2021122800100002,2021년 12월 28일 00시,화요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,53세,상해없음,개인형이동수단(PM),남,21세,경상
2021122800100003,2021년 12월 28일 00시,화요일,경기도 수원시 권선구 탑동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31세,상해없음,승용,남,69세,경상
2021122800100044,2021년 12월 28일 06시,화요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,원동기,남,38세,경상
2021122800100120,2021년 12월 28일 09시,화요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,승용,여,43세,경상
2021122800100121,2021년 12월 28일 09시,화요일,경기도 수원시 장안구 율전동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,승용,여,42세,경상
2021122800100181,2021년 12월 28일 11시,화요일,경기도 수원시 영통구 이의동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,이륜,남,37세,중상
